"age","sex","category","population"
0,"Miehet","v1990",538
0,"Miehet","v2010",447
0,"Miehet","v2024",268
1,"Miehet","v1990",484
1,"Miehet","v2010",406
1,"Miehet","v2024",299
2,"Miehet","v1990",519
2,"Miehet","v2010",417
2,"Miehet","v2024",314
3,"Miehet","v1990",482
3,"Miehet","v2010",440
3,"Miehet","v2024",319
4,"Miehet","v1990",473
4,"Miehet","v2010",457
4,"Miehet","v2024",297
5,"Miehet","v1990",505
5,"Miehet","v2010",422
5,"Miehet","v2024",319
6,"Miehet","v1990",529
6,"Miehet","v2010",422
6,"Miehet","v2024",352
7,"Miehet","v1990",535
7,"Miehet","v2010",451
7,"Miehet","v2024",376
8,"Miehet","v1990",529
8,"Miehet","v2010",426
8,"Miehet","v2024",362
9,"Miehet","v1990",491
9,"Miehet","v2010",385
9,"Miehet","v2024",413
10,"Miehet","v1990",480
10,"Miehet","v2010",452
10,"Miehet","v2024",442
11,"Miehet","v1990",472
11,"Miehet","v2010",402
11,"Miehet","v2024",424
12,"Miehet","v1990",554
12,"Miehet","v2010",423
12,"Miehet","v2024",431
13,"Miehet","v1990",540
13,"Miehet","v2010",447
13,"Miehet","v2024",472
14,"Miehet","v1990",588
14,"Miehet","v2010",477
14,"Miehet","v2024",449
15,"Miehet","v1990",541
15,"Miehet","v2010",515
15,"Miehet","v2024",414
16,"Miehet","v1990",506
16,"Miehet","v2010",470
16,"Miehet","v2024",445
17,"Miehet","v1990",473
17,"Miehet","v2010",479
17,"Miehet","v2024",482
18,"Miehet","v1990",518
18,"Miehet","v2010",528
18,"Miehet","v2024",496
19,"Miehet","v1990",583
19,"Miehet","v2010",518
19,"Miehet","v2024",515
20,"Miehet","v1990",559
20,"Miehet","v2010",578
20,"Miehet","v2024",539
21,"Miehet","v1990",604
21,"Miehet","v2010",524
21,"Miehet","v2024",527
22,"Miehet","v1990",628
22,"Miehet","v2010",608
22,"Miehet","v2024",505
23,"Miehet","v1990",638
23,"Miehet","v2010",568
23,"Miehet","v2024",513
24,"Miehet","v1990",620
24,"Miehet","v2010",526
24,"Miehet","v2024",474
25,"Miehet","v1990",624
25,"Miehet","v2010",536
25,"Miehet","v2024",489
26,"Miehet","v1990",617
26,"Miehet","v2010",546
26,"Miehet","v2024",486
27,"Miehet","v1990",626
27,"Miehet","v2010",592
27,"Miehet","v2024",541
28,"Miehet","v1990",635
28,"Miehet","v2010",545
28,"Miehet","v2024",507
29,"Miehet","v1990",577
29,"Miehet","v2010",513
29,"Miehet","v2024",536
30,"Miehet","v1990",576
30,"Miehet","v2010",453
30,"Miehet","v2024",532
31,"Miehet","v1990",566
31,"Miehet","v2010",484
31,"Miehet","v2024",548
32,"Miehet","v1990",536
32,"Miehet","v2010",507
32,"Miehet","v2024",541
33,"Miehet","v1990",621
33,"Miehet","v2010",493
33,"Miehet","v2024",549
34,"Miehet","v1990",628
34,"Miehet","v2010",521
34,"Miehet","v2024",542
35,"Miehet","v1990",613
35,"Miehet","v2010",473
35,"Miehet","v2024",505
36,"Miehet","v1990",680
36,"Miehet","v2010",389
36,"Miehet","v2024",570
37,"Miehet","v1990",671
37,"Miehet","v2010",428
37,"Miehet","v2024",521
38,"Miehet","v1990",725
38,"Miehet","v2010",435
38,"Miehet","v2024",502
39,"Miehet","v1990",709
39,"Miehet","v2010",490
39,"Miehet","v2024",551
40,"Miehet","v1990",737
40,"Miehet","v2010",483
40,"Miehet","v2024",537
41,"Miehet","v1990",772
41,"Miehet","v2010",493
41,"Miehet","v2024",567
42,"Miehet","v1990",831
42,"Miehet","v2010",541
42,"Miehet","v2024",542
43,"Miehet","v1990",807
43,"Miehet","v2010",563
43,"Miehet","v2024",489
44,"Miehet","v1990",745
44,"Miehet","v2010",562
44,"Miehet","v2024",482
45,"Miehet","v1990",684
45,"Miehet","v2010",603
45,"Miehet","v2024",477
46,"Miehet","v1990",633
46,"Miehet","v2010",607
46,"Miehet","v2024",491
47,"Miehet","v1990",541
47,"Miehet","v2010",577
47,"Miehet","v2024",480
48,"Miehet","v1990",451
48,"Miehet","v2010",602
48,"Miehet","v2024",524
49,"Miehet","v1990",647
49,"Miehet","v2010",549
49,"Miehet","v2024",444
50,"Miehet","v1990",487
50,"Miehet","v2010",551
50,"Miehet","v2024",408
51,"Miehet","v1990",560
51,"Miehet","v2010",547
51,"Miehet","v2024",427
52,"Miehet","v1990",511
52,"Miehet","v2010",535
52,"Miehet","v2024",450
53,"Miehet","v1990",496
53,"Miehet","v2010",586
53,"Miehet","v2024",503
54,"Miehet","v1990",490
54,"Miehet","v2010",576
54,"Miehet","v2024",487
55,"Miehet","v1990",478
55,"Miehet","v2010",551
55,"Miehet","v2024",482
56,"Miehet","v1990",462
56,"Miehet","v2010",629
56,"Miehet","v2024",557
57,"Miehet","v1990",428
57,"Miehet","v2010",616
57,"Miehet","v2024",551
58,"Miehet","v1990",459
58,"Miehet","v2010",672
58,"Miehet","v2024",543
59,"Miehet","v1990",481
59,"Miehet","v2010",621
59,"Miehet","v2024",583
60,"Miehet","v1990",483
60,"Miehet","v2010",630
60,"Miehet","v2024",593
61,"Miehet","v1990",443
61,"Miehet","v2010",679
61,"Miehet","v2024",551
62,"Miehet","v1990",446
62,"Miehet","v2010",714
62,"Miehet","v2024",538
63,"Miehet","v1990",424
63,"Miehet","v2010",708
63,"Miehet","v2024",491
64,"Miehet","v1990",374
64,"Miehet","v2010",632
64,"Miehet","v2024",521
65,"Miehet","v1990",372
65,"Miehet","v2010",545
65,"Miehet","v2024",496
66,"Miehet","v1990",351
66,"Miehet","v2010",515
66,"Miehet","v2024",520
67,"Miehet","v1990",330
67,"Miehet","v2010",435
67,"Miehet","v2024",510
68,"Miehet","v1990",282
68,"Miehet","v2010",365
68,"Miehet","v2024",514
69,"Miehet","v1990",302
69,"Miehet","v2010",498
69,"Miehet","v2024",495
70,"Miehet","v1990",247
70,"Miehet","v2010",386
70,"Miehet","v2024",546
71,"Miehet","v1990",181
71,"Miehet","v2010",417
71,"Miehet","v2024",493
72,"Miehet","v1990",193
72,"Miehet","v2010",381
72,"Miehet","v2024",544
73,"Miehet","v1990",179
73,"Miehet","v2010",369
73,"Miehet","v2024",501
74,"Miehet","v1990",180
74,"Miehet","v2010",334
74,"Miehet","v2024",502
75,"Miehet","v1990",178
75,"Miehet","v2010",320
75,"Miehet","v2024",521
76,"Miehet","v1990",189
76,"Miehet","v2010",284
76,"Miehet","v2024",510
77,"Miehet","v1990",178
77,"Miehet","v2010",261
77,"Miehet","v2024",482
78,"Miehet","v1990",154
78,"Miehet","v2010",270
